iter	RMSE
0	27.46798584
1	27.35766949
2	27.24996202
3	27.19080307
4	27.11511318
5	27.02545661
6	26.93840403
7	26.85592066
8	26.79236283
9	26.72011344
10	26.67834364
11	26.62889605
12	26.5569436
13	26.46952361
14	26.3887705
15	26.27687307
16	26.16470597
17	26.08955862
18	26.06552294
19	25.98271769
20	25.90316645
21	25.85750908
22	25.79463014
23	25.7299041
24	25.68069491
25	25.6302353
26	25.55084561
27	25.46786169
28	25.39725143
29	25.35442986
30	25.25907687
31	25.18745798
32	25.07953242
33	25.07626394
34	25.01200838
35	24.94831988
36	24.88775376
37	24.80449503
38	24.74813615
39	24.67169815
40	24.58419074
41	24.53843518
42	24.47488703
43	24.43659326
44	24.36977895
45	24.35773342
46	24.33951741
47	24.27558097
48	24.24058094
49	24.22465364
50	24.16354688
51	24.13916673
52	24.07987613
53	24.06356542
54	23.99699254
55	23.91996034
56	23.90025147
57	23.8306704
58	23.7939423
59	23.73508167
60	23.70764682
61	23.67615899
62	23.59631829
63	23.56190106
64	23.52745321
65	23.51098291
66	23.44774709
67	23.34776165
68	23.2670539
69	23.19871036
70	23.14070287
71	23.0431782
72	23.00721574
73	22.97468415
74	22.87897362
75	22.841857
76	22.81192565
77	22.74338067
78	22.67721287
79	22.66759723
80	22.60089089
81	22.5143383
82	22.47955887
83	22.46266289
84	22.43010882
85	22.3842228
86	22.34401236
87	22.27573526
88	22.21214927
89	22.15211189
90	22.12325998
91	22.08621015
92	22.03694826
93	22.0283342
94	21.96237629
95	21.91178061
96	21.85286715
97	21.77909046
98	21.74666439
99	21.68212503
100	21.60667689
101	21.59788052
102	21.58034121
103	21.55194869
104	21.5087805
105	21.43614767
106	21.35992625
107	21.28731036
108	21.25350063
109	21.20763652
110	21.17463881
111	21.13247323
112	21.08003521
113	21.02768339
114	21.01543713
115	20.9477028
116	20.87103911
117	20.83948841
118	20.79957067
119	20.76098483
120	20.73903225
121	20.6859527
122	20.67426498
123	20.5914693
124	20.56992222
125	20.54396298
126	20.49181475
127	20.46711105
128	20.4173846
129	20.362393
130	20.33674607
131	20.29228988
132	20.25016206
133	20.191983
134	20.1334911
135	20.10107513
136	20.08049924
137	20.05778049
138	20.02022866
139	19.97499707
140	19.95980366
141	19.9096642
142	19.8396741
143	19.828515
144	19.7916541
145	19.70927162
146	19.67394231
147	19.63558659
148	19.55785136
149	19.51614531
150	19.49494979
151	19.45659619
152	19.40957552
153	19.35720827
154	19.33562631
155	19.29107559
156	19.24066702
157	19.20185726
158	19.13323295
159	19.07491322
160	19.06102974
161	19.03460509
162	18.98653401
163	18.93639465
164	18.92259064
165	18.9002464
166	18.86700067
167	18.8335575
168	18.78558311
169	18.77408478
170	18.71968223
171	18.70551084
172	18.69205499
173	18.66058198
174	18.60304231
175	18.56345853
176	18.54130132
177	18.518951
178	18.4711643
179	18.40396129
180	18.35416671
181	18.30641494
182	18.2496199
183	18.20547978
184	18.16153603
185	18.14492862
186	18.13549667
187	18.0928022
188	18.04945291
189	18.03450888
190	18.01367048
191	17.98878234
192	17.9658004
193	17.93208686
194	17.89354613
195	17.86774628
196	17.81513389
197	17.80008038
198	17.76791583
199	17.7546531
200	17.74292881
201	17.72025381
202	17.7081725
203	17.66899615
204	17.65772554
205	17.63808783
206	17.58529997
207	17.57283722
208	17.55209779
209	17.53932207
210	17.52713855
211	17.51354154
212	17.50377048
213	17.49230159
214	17.48222898
215	17.46807915
216	17.41510457
217	17.40407804
218	17.39384613
219	17.38088631
220	17.3684494
221	17.35738311
222	17.34763728
223	17.33606021
224	17.32444308
225	17.31195437
226	17.29912422
227	17.28708426
228	17.24195197
229	17.22937846
230	17.19841765
231	17.18653199
232	17.17369758
233	17.16157212
234	17.15078814
235	17.13854289
236	17.12698803
237	17.11496748
238	17.04717661
239	17.03671575
240	17.02355205
241	17.01145117
242	16.97075007
243	16.95954089
244	16.94918578
245	16.90936066
246	16.89888573
247	16.88726006
248	16.87601117
249	16.86469064
250	16.85335359
251	16.84177904
252	16.83054309
253	16.82012511
254	16.8085925
255	16.79895723
256	16.78753663
257	16.74181807
258	16.69786547
259	16.68685673
260	16.67581636
261	16.66523098
262	16.65440024
263	16.64405038
264	16.63370381
265	16.62266286
266	16.61190824
267	16.60163633
268	16.59076431
269	16.58025306
270	16.56962439
271	16.55887817
272	16.54822898
273	16.51577273
274	16.50525986
275	16.44943048
276	16.43901805
277	16.42858824
278	16.41650789
279	16.37028718
280	16.3616
281	16.35253288
282	16.29429291
283	16.28409084
284	16.27382028
285	16.26563604
286	16.25710456
287	16.21419502
288	16.20383374
289	16.17080684
290	16.13102115
291	16.12079827
292	16.07172033
293	16.03367371
294	16.02358222
295	16.01432535
296	16.0050203
297	15.99567841
298	15.98651556
299	15.97780944
300	15.92233269
301	15.91344178
302	15.90351105
303	15.89376584
304	15.84826769
305	15.83919298
306	15.82951106
307	15.81994637
308	15.81036688
309	15.79951143
310	15.79068745
311	15.78104268
312	15.75238577
313	15.72184378
314	15.71235254
315	15.65961859
316	15.59634362
317	15.55045854
318	15.54166055
319	15.53222599
320	15.52287681
321	15.51351785
322	15.50420559
323	15.49681456
324	15.4876366
325	15.45272282
326	15.38775057
327	15.37919769
328	15.37080748
329	15.36172206
330	15.35248367
331	15.31810324
332	15.30906642
333	15.26807952
334	15.23131119
335	15.22209265
336	15.2139765
337	15.20575404
338	15.19671322
339	15.18686894
340	15.17989193
341	15.17179862
342	15.16386563
343	15.15509153
344	15.147139
345	15.13759203
346	15.12877282
347	15.1199724
348	15.10707423
349	15.08244027
350	15.07365286
351	15.02436291
352	15.0155994
353	15.00771541
354	14.9584244
355	14.94975481
356	14.9411702
357	14.93351916
358	14.9258383
359	14.88815494
360	14.88061882
361	14.87218351
362	14.86458011
363	14.8560742
364	14.84762547
365	14.83920561
366	14.83090278
367	14.82251554
368	14.79141252
369	14.76974035
370	14.76043813
371	14.75307661
372	14.74466609
373	14.73550636
374	14.68677892
375	14.67839329
376	14.67014437
377	14.60976727
378	14.60142089
379	14.59315448
380	14.546165
381	14.53786642
382	14.52964748
383	14.52147181
384	14.47834455
385	14.42761508
386	14.42028542
387	14.36620307
388	14.35893623
389	14.35005391
390	14.34220926
391	14.33417641
392	14.3262799
393	14.31917397
394	14.31126279
395	14.3034164
396	14.26785657
397	14.22483022
398	14.21772522
399	14.20991479
400	14.17728024
401	14.17022868
402	14.16022087
403	14.15231547
404	14.14452227
405	14.13681515
406	14.12861111
407	14.12169949
408	14.10259493
409	14.09479257
410	14.04620058
411	14.0385107
412	14.03171259
413	14.01382497
414	14.00668353
415	13.99897691
416	13.99141753
417	13.98375853
418	13.9546563
419	13.93307579
420	13.91197309
421	13.90429712
422	13.89674789
423	13.88922231
424	13.8463749
425	13.83872825
426	13.83124794
427	13.81578839
428	13.79398585
429	13.78576432
430	13.73620681
431	13.72862089
432	13.68555634
433	13.67804193
434	13.61839552
435	13.59825559
436	13.59078224
437	13.58421611
438	13.57677731
439	13.56943955
440	13.52010039
441	13.51274396
442	13.49658964
443	13.48930512
444	13.4820499
445	13.47468439
446	13.46791023
447	13.46066992
448	13.43567898
449	13.42633937
450	13.41903315
451	13.38633397
452	13.37917532
453	13.37283896
454	13.36558545
455	13.35842473
456	13.2987203
457	13.29163385
458	13.28539365
459	13.26864137
460	13.26154463
461	13.25438177
462	13.24666308
463	13.23968597
464	13.23273762
465	13.22580162
466	13.21958294
467	13.16998695
468	13.12190179
469	13.11415974
470	13.10711809
471	13.10022913
472	13.09326713
473	13.02073357
474	12.96892858
475	12.96194953
476	12.95416485
477	12.94735581
478	12.94057532
479	12.89080956
480	12.87609606
481	12.870882
482	12.86375329
483	12.85700965
484	12.80546548
485	12.79862713
486	12.77996218
487	12.77315921
488	12.76639854
489	12.75965455
490	12.75292354
491	12.7463028
492	12.73961982
493	12.73224485
494	12.72567044
495	12.71987358
496	12.71326649
497	12.69201209
498	12.68546045
499	12.63716361
500	12.62436025
501	12.61778314
502	12.61115092
503	12.60465653
504	12.59818661
505	12.59166523
506	12.58432517
507	12.56422143
508	12.55770076
509	12.51441614
510	12.48196125
511	12.47542797
512	12.46872016
513	12.46233778
514	12.45592824
515	12.44297928
516	12.43663905
517	12.43026876
518	12.40362072
519	12.39719978
520	12.39085336
521	12.38448623
522	12.37813532
523	12.37184021
524	12.36556591
525	12.31499478
526	12.30866193
527	12.2744284
528	12.23214028
529	12.18463459
530	12.15301845
531	12.14664484
532	12.12878282
533	12.08869177
534	12.04051214
535	11.99868758
536	11.99233782
537	11.96007113
538	11.95385745
539	11.89042831
540	11.87614762
541	11.86207319
542	11.81043734
543	11.80426966
544	11.79819553
545	11.79204676
546	11.78603061
547	11.77993917
548	11.77397158
549	11.76801521
550	11.76200788
551	11.75608593
552	11.71642925
553	11.68495313
554	11.65799624
555	11.65202672
556	11.64600628
557	11.6401313
558	11.63428712
559	11.6284677
560	11.62259544
561	11.61674805
562	11.61091255
563	11.59260298
564	11.5868339
565	11.54355055
566	11.53779011
567	11.53204114
568	11.52621561
569	11.52052996
570	11.51475188
571	11.50907297
572	11.50331221
573	11.49765639
574	11.49192431
575	11.48622211
576	11.4805451
577	11.47494356
578	11.46934718
579	11.46375751
580	11.44844293
581	11.44285568
582	11.43719447
583	11.43163105
584	11.42608737
585	11.38799837
586	11.38242242
587	11.37682064
588	11.370182
589	11.34169199
590	11.33614488
591	11.33062654
592	11.29531435
593	11.28877936
594	11.28324704
595	11.27775152
596	11.24016129
597	11.21164155
598	11.2061395
599	11.17780206
600	11.1723214
601	11.13085738
602	11.09885323
603	11.09272273
604	11.08727877
605	11.08188448
606	11.07645443
607	11.0711051
608	11.06480267
609	11.05939949
610	11.0541042
611	11.03625509
612	11.03095289
613	11.02567136
614	10.9881638
615	10.98294109
616	10.97766462
617	10.93540996
618	10.91333218
619	10.90800155
620	10.90276382
621	10.8969953
622	10.89179545
623	10.88661434
624	10.88144872
625	10.84347619
626	10.83829163
627	10.81588498
628	10.77898127
629	10.7737768
630	10.76783807
631	10.76198325
632	10.72411124
633	10.67630616
634	10.67113024
635	10.66600553
636	10.66083528
637	10.65575972
638	10.619076
639	10.59918725
640	10.56289126
641	10.55771563
642	10.52767828
643	10.52253424
644	10.51749153
645	10.47594824
646	10.47086534
647	10.46601936
648	10.46099905
649	10.45605672
650	10.42854393
651	10.41598629
652	10.37562437
653	10.37066255
654	10.3612129
655	10.3562152
656	10.35125087
657	10.3461135
658	10.34119171
659	10.33675187
660	10.33190697
661	10.32707852
662	10.28800441
663	10.25130887
664	10.23444438
665	10.22454574
666	10.21957875
667	10.21467239
668	10.18986001
669	10.1850203
670	10.14276943
671	10.13794659
672	10.13315095
673	10.11831083
674	10.11353644
675	10.10914493
676	10.08561927
677	10.0513248
678	10.04649379
679	10.03806083
680	10.03325172
681	9.996741737
682	9.991986221
683	9.974468979
684	9.943428081
685	9.938694079
686	9.916571093
687	9.911889289
688	9.907161723
689	9.90184954
690	9.893487104
691	9.862573075
692	9.857875267
693	9.817967735
694	9.775089557
695	9.770419443
696	9.765769852
697	9.72535369
698	9.7207261
699	9.715733803
700	9.699163117
701	9.667761227
702	9.662081156
703	9.625390069
704	9.620785952
705	9.589627117
706	9.564818405
707	9.560237189
708	9.555702677
709	9.540815189
710	9.536289377
711	9.53177882
712	9.526939574
713	9.4943725
714	9.486484466
715	9.469887617
716	9.465298534
717	9.451725521
718	9.447260521
719	9.442179635
720	9.437766293
721	9.433330131
722	9.428939396
723	9.424560486
724	9.420210634
725	9.38235381
726	9.377897936
727	9.361225228
728	9.321825417
729	9.300986591
730	9.296233071
731	9.291910488
732	9.28753772
733	9.283223694
734	9.251177017
735	9.246869276
736	9.242622762
737	9.228448879
738	9.217034639
739	9.212787922
740	9.208563851
741	9.178904835
742	9.174581827
743	9.150606598
744	9.116535239
745	9.112218094
746	9.106343015
747	9.068581506
748	9.063511247
749	9.059234311
750	9.027042212
751	9.017634605
752	9.008813993
753	9.004336502
754	9.000105239
755	8.995943274
756	8.991754413
757	8.987408847
758	8.964062738
759	8.959948652
760	8.939831501
761	8.932087684
762	8.927947949
763	8.923834101
764	8.919668123
765	8.886556572
766	8.882392281
767	8.876990508
768	8.856074962
769	8.83607909
770	8.831898663
771	8.827823841
772	8.823543531
773	8.819502544
774	8.815476745
775	8.811409353
776	8.807354637
777	8.784768738
778	8.770919367
779	8.766887909
780	8.755749302
781	8.751325123
782	8.741016937
783	8.716172158
784	8.712158644
785	8.682501184
786	8.678421719
787	8.634820257
788	8.624611098
789	8.620549224
790	8.614763289
791	8.610793705
792	8.606805501
793	8.602676671
794	8.577003872
795	8.546995712
796	8.542970135
797	8.53640428
798	8.532280564
799	8.52831547
800	8.506707079
801	8.502784265
802	8.498844963
803	8.494972264
804	8.491111033
805	8.487256847
806	8.482924164
807	8.458317058
808	8.454398965
809	8.45050868
810	8.446630332
811	8.436670984
812	8.432804707
813	8.409573861
814	8.405699991
815	8.367723881
816	8.33908286
817	8.33520674
818	8.331299024
819	8.327427278
820	8.323573722
821	8.318363071
822	8.314583998
823	8.310596448
824	8.306830638
825	8.303023055
826	8.29922473
827	8.295441454
828	8.282613914
829	8.278861869
830	8.275482904
831	8.271331221
832	8.241422049
833	8.234228692
834	8.230462936
835	8.223912106
836	8.220108985
837	8.216379035
838	8.212613225
839	8.208689499
840	8.175387897
841	8.171621644
842	8.167858022
843	8.146513624
844	8.142808806
845	8.139083545
846	8.135372678
847	8.108192481
848	8.104459275
849	8.100799545
850	8.097161971
851	8.093480977
852	8.079005469
853	8.075330276
854	8.071666442
855	8.068006961
856	8.043919326
857	8.040230499
858	8.008351376
859	8.004672177
860	8.001071148
861	7.994890997
862	7.991255311
863	7.987633349
864	7.984074605
865	7.980478951
866	7.976890248
867	7.954388576
868	7.950403977
869	7.946123057
870	7.94253006
871	7.938957345
872	7.909450403
873	7.902656808
874	7.899052737
875	7.888225015
876	7.859132364
877	7.855532662
878	7.852006248
879	7.839272011
880	7.835749723
881	7.832242547
882	7.807717419
883	7.780016043
884	7.776440309
885	7.772930625
886	7.769268422
887	7.765755744
888	7.76223428
889	7.758779423
890	7.755295486
891	7.731177095
892	7.712719716
893	7.709201024
894	7.69104864
895	7.687547694
896	7.683725662
897	7.677229794
898	7.673774195
899	7.670333779
900	7.666939402
901	7.650073307
902	7.646640689
903	7.63458831
904	7.631145205
905	7.625195816
906	7.620275775
907	7.616869598
908	7.613461614
909	7.596365393
910	7.586396439
911	7.575161655
912	7.560660175
913	7.557256269
914	7.553845343
915	7.550440531
916	7.547528811
917	7.53410914
918	7.518040721
919	7.514513283
920	7.511169699
921	7.507834532
922	7.487123449
923	7.483797035
924	7.480430896
925	7.461268959
926	7.431360777
927	7.405467563
928	7.393438372
929	7.390069418
930	7.382860985
931	7.379520936
932	7.376399216
933	7.359090646
934	7.339412656
935	7.326363592
936	7.316324358
937	7.312986109
938	7.309685339
939	7.288101714
940	7.284778391
941	7.253062524
942	7.219431943
943	7.216114924
944	7.196705628
945	7.193342005
946	7.189863264
947	7.186611828
948	7.183380405
949	7.180162781
950	7.159508975
951	7.142043313
952	7.113057175
953	7.1097823
954	7.106519272
955	7.103332261
956	7.10010306
957	7.096942194
958	7.093793184
959	7.090652139
960	7.070080202
961	7.052814824
962	7.049613303
963	7.046915244
964	7.043800642
965	7.034678271
966	7.031528442
967	7.028428671
968	7.007763427
969	7.004590792
970	7.001322415
971	6.997276803
972	6.994193258
973	6.981940169
974	6.978818637
975	6.975577375
976	6.959612907
977	6.956535262
978	6.95342709
979	6.929451454
980	6.900821582
981	6.880548647
982	6.877432844
983	6.874308662
984	6.871191397
985	6.868134565
986	6.864912943
987	6.861712831
988	6.858645814
989	6.855583475
990	6.852571548
991	6.849409036
992	6.829385937
993	6.824134317
994	6.820769682
995	6.817400994
996	6.792436642
997	6.7893746
998	6.7863482
999	6.780618963
